experiment,model,format,size,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_var_comp_1_mean,pca_var_comp_1_std,pca_cumulative_var_5_mean,pca_cumulative_var_5_std
format_size_sweep_kfold,gemini-embedding-001,standard,1,1.0,0.0,0.6896389048482825,0.009275925134236498,0.20710844401522968,0.0037810504635311616,0.6080053062624371,0.005267375494971838
format_size_sweep_kfold,gemini-embedding-001,standard,2,0.9940783010106552,0.0012496929243834528,0.5972940857072133,0.04059298548103238,0.09325997027689818,0.0019465720980577695,0.32629604905914117,0.0010156238745500869
format_size_sweep_kfold,gemini-embedding-001,standard,3,0.9033697277695296,0.02232430655642696,0.5680099022161034,0.0344092735243592,0.054341181341467835,0.00080998613210406,0.20312933166399788,0.0010370071331732005
format_size_sweep_kfold,gemini-embedding-001,standard,4,0.8317999538103406,0.040735887911583474,0.4949407769336185,0.03977179197615164,0.04248988198962169,0.0008042325268240698,0.16340483010766332,0.0018011777016946511
format_size_sweep_kfold,gemini-embedding-001,standard,5,0.796995875442364,0.03616602138934872,0.5510488135312329,0.010857381332565608,0.035635631851531825,0.0006756297972235654,0.14459741112390337,0.002104622753996477
format_size_sweep_kfold,gemini-embedding-001,standard,6,0.7685736502964787,0.044297641954923986,-0.000683684822912145,0.027527244631476402,0.02693835689113728,0.0007055516995568816,0.12097277148591093,0.002124858245644113
format_size_sweep_kfold,gemini-embedding-001,standard,7,0.6026824228291413,0.05157343613704992,-0.03430528888756852,0.028725324405156637,0.024932198703991167,0.0005958142180671756,0.11370347596897971,0.0008016678801515375
format_size_sweep_kfold,gemini-embedding-001,standard,8,0.5416855859168382,0.10135990233705079,-0.016329656490209944,0.017387809598103536,0.023514190224053447,0.0006605355179350735,0.10830208543595901,0.0009792218878117347
format_size_sweep_kfold,gemini-embedding-001,standard,9,0.5903015268854638,0.03493436753148906,-0.010100371580051304,0.018837900785524882,0.024070054487957057,0.0006184577813493863,0.1084617224601571,0.00023354185724774927
format_size_sweep_kfold,gemini-embedding-001,standard,10,0.507379410696657,0.03626885629090194,-0.017801887278601526,0.05497856971515107,0.02326007451515638,0.0005960497033021498,0.10141365924138639,0.001079631186092652
format_size_sweep_kfold,gemini-embedding-001,standard,11,0.4773293956233651,0.05278427924590033,-0.023705963610758406,0.02650215166386866,0.024123885032763373,0.0007874439475484061,0.10491281472596795,0.000764128262583905
format_size_sweep_kfold,gemini-embedding-001,standard,12,0.38565619870133183,0.07673612262063269,0.0028548086452055534,0.011342110166118692,0.02347957934164066,0.0005014472599504154,0.10573545787677256,0.001093861521123907
format_size_sweep_kfold,gemini-embedding-001,standard,13,0.4809031171267432,0.05428186752922778,-0.032399323333689535,0.025638867133930047,0.023314201602915047,0.0003774466263453554,0.10618131977152796,0.0015845946337413631
