experiment,model,format,size,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_var_comp_1_mean,pca_var_comp_1_std,pca_cumulative_var_5_mean,pca_cumulative_var_5_std
format_size_sweep_kfold,voyage-3-large,standard,1,1.0,0.0,0.7759229110273557,0.017099765551906163,0.46371871670140363,0.0036267646095555247,0.8225135971040285,0.0010255803524883448
format_size_sweep_kfold,voyage-3-large,standard,2,0.9972191505890706,0.0013425341392461693,0.7624152359472632,0.014157064276537325,0.38720426779958783,0.0027649669819031944,0.6486832995877835,0.0015657239815567003
format_size_sweep_kfold,voyage-3-large,standard,3,0.9704253232278999,0.008791104935472745,0.738463145718336,0.040662335131826176,0.3888154656929968,0.0035207670181869495,0.6017934809430894,0.0023367852966253004
format_size_sweep_kfold,voyage-3-large,standard,4,0.9371922357778562,0.025663897536217582,0.7492023425472878,0.03505695058531492,0.36374557450239997,0.005330049103949388,0.5907128120712833,0.0034502682699851252
format_size_sweep_kfold,voyage-3-large,standard,5,0.9566356202145538,0.005404095550045798,0.7505920021248965,0.010011458940929354,0.44861429494530547,0.0028673914421763215,0.629782752942405,0.0026224811333102026
format_size_sweep_kfold,voyage-3-large,standard,6,0.9340876959638795,0.012936579115245445,0.7286407274537835,0.03715336623764827,0.47076510610526967,0.0036968847314218837,0.6184030504039474,0.003878589547581345
format_size_sweep_kfold,voyage-3-large,standard,7,0.9154409580453151,0.00848840105587191,0.7191864526488232,0.03483295437235543,0.507304653168929,0.0012849886055669103,0.6480709054722285,0.001300168568757575
format_size_sweep_kfold,voyage-3-large,standard,8,0.9165372014095986,0.02324373365460762,0.7260422271101614,0.02218179667195334,0.5032586327122014,0.0035207136299353504,0.6534820652358696,0.002795312057587643
format_size_sweep_kfold,voyage-3-large,standard,9,0.9185362427483884,0.007010034732325287,0.7465859437724166,0.014803050097821973,0.5226218941839107,0.003935468082565841,0.6689764164900034,0.0028034723175399388
format_size_sweep_kfold,voyage-3-large,standard,10,0.9376549913929406,0.008344050008862765,0.7317162604195244,0.014403440245640622,0.5208255170862672,0.002099928262703582,0.6841779805364332,0.00099789974386573
format_size_sweep_kfold,voyage-3-large,standard,11,0.8769785378010375,0.008587526882873054,0.7396770035306216,0.02556684218576616,0.5348396618124183,0.004461967965947314,0.6982464823130712,0.0028044570539340107
format_size_sweep_kfold,voyage-3-large,standard,12,0.8593273280763984,0.026544439356121934,0.7560642334749451,0.024296639731899442,0.5353419395613117,0.002667707449012395,0.708498918512665,0.001780080629543837
format_size_sweep_kfold,voyage-3-large,standard,13,0.8003248253957992,0.028493528619845453,0.7386771769691378,0.028193721653402563,0.5089467408103838,0.006978506368771632,0.7038445600034541,0.0039771602906126
format_size_sweep_kfold,voyage-3-large,standard,14,0.861413305276775,0.03763395566217732,0.7459186404973412,0.02852591659624184,0.5201038746844902,0.005786843468624909,0.7042137497077615,0.0015901386018838128
format_size_sweep_kfold,voyage-3-large,standard,15,0.8199797658307654,0.03198513493482784,0.7119750179578415,0.03258281007560145,0.5448860411200134,0.006906893182759584,0.7144862736581387,0.0031184138892838367
format_size_sweep_kfold,voyage-3-large,standard,16,0.859289838362393,0.01645365140681995,0.746739183949777,0.02350706689549917,0.5839934515009818,0.0028851707187520035,0.726031039187235,0.0010514217996316912
format_size_sweep_kfold,voyage-3-large,standard,17,0.8255910946780789,0.04861190215835298,0.7290770999685486,0.018871914125881243,0.5829793098754961,0.002313011330696587,0.7323044833968158,0.0019973667797489147
format_size_sweep_kfold,voyage-3-large,standard,18,0.8398188918544289,0.040907851843041604,0.7455016045765015,0.03108092157488622,0.5845511537999548,0.006371239248116552,0.7362965360234004,0.003402754996056643
format_size_sweep_kfold,voyage-3-large,standard,19,0.8889837820515739,0.013478189849862264,0.7182681761839272,0.022569120660720976,0.5728475097512976,0.005170404122192781,0.7324410599701621,0.003324575443405789
format_size_sweep_kfold,voyage-3-large,standard,20,0.8685235053665841,0.020451254938533905,0.7290070743940698,0.02556072699442977,0.5763089884141088,0.007935056411552144,0.7317916277707398,0.002124266188166342
format_size_sweep_kfold,voyage-3-large,scientific_3sf,1,1.0,0.0,0.779962516598115,0.017844763352665778,0.3854167887684161,0.0028484388299184257,0.7579405019568302,0.002651892328539478
