experiment,model,size,k_folds,model_type,alpha,linear_r2_mean,linear_r2_std,linear_adj_r2_mean,linear_adj_r2_std,pca_r2_mean,pca_r2_std,pca_adj_r2_mean,pca_adj_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_proportion_significant_mean,linear_proportion_significant_std,pca_proportion_significant_mean,pca_proportion_significant_std,linear_f_pvalue_mean,linear_f_pvalue_std,pca_f_pvalue_mean,pca_f_pvalue_std,linear_aic_mean,linear_bic_mean,pca_aic_mean,pca_bic_mean
positive_decimals_statsmodels,text-embedding-3-large,1,5,Statsmodels_OLS,0.05,0.9999945330237173,3.5842849786997594e-06,0.9999945330237173,3.5842849786997594e-06,0.6339185205096382,0.04624994891412241,0.630182995208716,0.04672188716834813,0.17323870591125418,0.002678533794763116,0.0003255208333333333,0.0,1.0,0.0,0.0,0.0,1.1665393363138356e-85,2.2944635538814494e-85,-4670.2019419591015,-4386.009666205013,-254.62461706597105,-246.64168797175506
positive_decimals_statsmodels,text-embedding-3-large,2,5,Statsmodels_OLS,0.05,0.9999622424837165,4.8308820302757076e-05,0.9999622424837165,4.8308820302757076e-05,0.8490028455662391,0.03460344098836577,0.8474620582760986,0.03495653732498176,0.08420215379969648,0.001335044214863668,1.0,0.0,1.0,0.0,0.0,0.0,2.730282294901729e-136,5.460564589803458e-136,-23926.267513605,-23266.079277513338,-603.9116434760774,-595.9287143818616
positive_decimals_statsmodels,text-embedding-3-large,3,5,Statsmodels_OLS,0.05,0.9920346317249198,0.0012166511032895091,0.9920346317249198,0.0012166511032895091,0.8024736023176058,0.03617695179352249,0.8004580268310508,0.03654610436284417,0.06554788046630297,0.0008708133121211118,1.0,0.0,1.0,0.0,1.8392714858999056e-213,0.0,1.2569272896320465e-138,2.410100320597059e-138,-23642.25553990417,-22130.288769459665,-513.3097000063083,-505.32677091209223
positive_decimals_statsmodels,text-embedding-3-large,4,5,Statsmodels_OLS,0.05,0.9822063346315819,0.0039135394760399095,0.9822063346315819,0.0039135394760399095,0.6649198566725018,0.05044376727620497,0.6615006715365068,0.05095849959534989,0.05623143382842492,0.001438635524288997,0.8,0.4000000000000001,1.0,0.0,3.683974772146147e-13,1.9177173018765058e-14,1.2202634219560427e-92,2.4405268113326525e-92,-24190.75617289513,-22597.36352568962,-330.0983655373394,-322.1154364431234
positive_decimals_statsmodels,text-embedding-3-large,5,5,Statsmodels_OLS,0.05,0.9822200420127782,0.0034728084937116505,0.9822200420127782,0.0034728084937116505,0.7711625969849415,0.0372524654574753,0.7688275214439715,0.037632592656020966,0.050196399712167404,0.0013498483139748473,0.0,0.0,1.0,0.0,,,7.276860043621661e-122,1.455365194342531e-121,-24271.212836167404,-22674.62701732421,-446.2525789201718,-438.2696498259558
positive_decimals_statsmodels,text-embedding-3-large,6,5,Statsmodels_OLS,0.05,0.9769130170494489,0.007623493344354804,0.9769130170494489,0.007623493344354804,0.7111844661933943,0.06089629635869302,0.7082373689096533,0.06151768713786333,0.04064780706050193,0.0015827095666416417,0.0,0.0,1.0,0.0,,,1.3068928515768679e-98,2.6137857031345647e-98,-24219.76596846584,-22623.180149622647,-389.42843587609207,-381.44550678187613
positive_decimals_statsmodels,text-embedding-3-large,7,5,Statsmodels_OLS,0.05,0.9728450540073326,0.005238800906019023,0.9728450540073326,0.005238800906019023,0.8317643392841825,0.02948250182160028,0.830047648868715,0.029783343676922706,0.04229237022071581,0.0011885633949751263,0.0,0.0,1.0,0.0,,,4.0210965293656407e-154,8.041686211524644e-154,-24344.77724860005,-22748.191429756862,-595.7675834118221,-587.784654317606
positive_decimals_statsmodels,text-embedding-3-large,8,5,Statsmodels_OLS,0.05,0.9768339186165026,0.0035980763297050527,0.9768339186165026,0.0035980763297050527,0.651116819602273,0.02297581485486156,0.6475567871492348,0.023210261945217255,0.04702118794871959,0.0008967604790628272,0.0,0.0,1.0,0.0,,,2.4861767739452399e-88,4.972327605971076e-88,-24388.9901646625,-22792.40434581931,-292.4286880542885,-284.4457589600725
positive_decimals_statsmodels,text-embedding-3-large,9,5,Statsmodels_OLS,0.05,0.9680171762569234,0.0064094337598899175,0.9680171762569234,0.0064094337598899175,0.5668786941660391,0.017813835479269735,0.562459089004468,0.017995609310690823,0.03339423272063504,0.0006680552391616471,0.0,0.0,1.0,0.0,,,1.1715557325149893e-68,2.3431114647099887e-68,-24347.56116181371,-22750.97534297052,-247.58571898598203,-239.602789891766
positive_decimals_statsmodels,text-embedding-3-large,10,5,Statsmodels_OLS,0.05,0.9726269540744804,0.005628207211181617,0.9726269540744804,0.005628207211181617,0.7682417267079461,0.03505948057428521,0.7658768463682313,0.03541723037606362,0.03744355183251221,0.0009691238620353766,0.0,0.0,1.0,0.0,,,4.823141348039771e-124,8.11758505122847e-124,-24467.82387334269,-22871.238054499503,-436.4041236556989,-428.42119456148293
